company_uuid,person_uuid,role,title
68d93885-34e6-3967-786d-35b8be4df50f,3ba27b55-3eb9-456b-0ba4-137db451a11c,founder,Founder
1c10e928-e307-88e1-ae07-b5b2a71fc5e4,02895e52-2c93-a5c0-169e-d3f48d011fe6,c_suite,Founder & CEO
1ebaa59b-7035-75d2-316d-e7b35b8a82ed,2a28671b-91f8-79b4-c65a-7dd8f2bf28f3,c_suite,"Co-Founder, Co-CEO"
1ebaa59b-7035-75d2-316d-e7b35b8a82ed,0c95fa6e-c9b6-3ea9-99cb-ead77e0310d9,c_suite,Co-Founder & CEO
1ebaa59b-7035-75d2-316d-e7b35b8a82ed,fc5db806-c97d-4e9d-bb5f-db99c4a0541d,other,Chief Insurance Officer
1ebaa59b-7035-75d2-316d-e7b35b8a82ed,adf78ab3-19b6-7bcd-7e43-bb3c1f6d0b4e,other,Chief Business Development Officer
1ebaa59b-7035-75d2-316d-e7b35b8a82ed,3f732be4-a0d9-fe5b-da14-d4930b5747cd,vp,SVP of Strategic Initiatives
1ebaa59b-7035-75d2-316d-e7b35b8a82ed,8a800680-ebdd-4497-a7e0-f2b9d27b3234,c_suite,Director Of Engineering
1ebaa59b-7035-75d2-316d-e7b35b8a82ed,13b01af8-6763-4f26-b164-b7ad18fb84bc,vp,VP Product Strategy and Operations
1ebaa59b-7035-75d2-316d-e7b35b8a82ed,ca83d8a4-5054-a3f9-1456-46e816a13a4d,c_suite,CFO
1ebaa59b-7035-75d2-316d-e7b35b8a82ed,e4af235e-e8c2-b3e4-08f1-b60a96b5de88,vp,VP Communications
1ebaa59b-7035-75d2-316d-e7b35b8a82ed,56d66d12-017c-8782-6d97-c6e40a60c58b,vp,SVP R&D
1ebaa59b-7035-75d2-316d-e7b35b8a82ed,24892524-9a51-4f9a-9d96-7ac470dc5329,other,DACH Partnerships Strategy | Independent Consultant
1ebaa59b-7035-75d2-316d-e7b35b8a82ed,16f9dca2-7611-f2cf-ae63-68c988f688a4,other,Team Lead
