investor_uuid,permalink,name,entity_def_id,investor_type,investment_count,website
025b7589-2ad6-4508-8b28-f8915462aef5,channel-mark-investments,Channel Mark Investments,organization,venture_capital,,http://www.channelmark.com/
3718597a-dd39-6661-3630-09cdd43bcac2,techstars,Techstars,organization,"accelerator,venture_capital",,https://www.techstars.com
7654ff51-f435-7610-d965-19ced655b2d1,7-percent,7percent Ventures,organization,"micro_vc,venture_capital",,https://www.7pc.vc/
ee2505d5-a8d2-4c13-bc72-de88cab636b3,anil-daryani-36b3,Anil Daryani,person,angel_investor,,
0695058d-3934-7e6b-d4d6-aca44e1b93ca,bjoern-zinssmeister,Bjoern Zinssmeister,person,angel_investor,,
61ef9a31-f184-6c4c-0325-c8ec0ba4dcdf,david-stephen-kidder,David S. Kidder,person,angel_investor,,
abd201eb-ae5a-4d66-85a1-59852914c386,joshua-forman-c386,Joshua Forman,person,angel_investor,,
2f0b630c-e5be-46f0-953f-1cf4c2c1a441,on-deck-a441,On Deck,organization,accelerator,,http://beondeck.com/
a4af56b9-4f9c-4f0e-ae9e-4d1dffe72d44,pareto-holdings,Pareto Holdings,organization,venture_capital,,https://www.pareto20.com/
07e6bdd2-3a6d-1430-af75-c264e3a86404,tobi-knaup,Tobi Knaup,person,angel_investor,,
727aef73-fb70-4d17-b502-55dd7c2597d7,yoeri-dassen,Yoeri Dassen,person,angel_investor,,
34a9bb66-0984-8de0-e7fb-13e976b4a135,general-catalyst-partners,General Catalyst,organization,venture_capital,,http://www.generalcatalyst.com
02f59f0c-f60f-4de2-bc1f-ee8ca615637c,g-squared-2,G Squared,organization,"secondary_purchaser,venture_capital",,http://gsquared.com
8fdec789-21e1-450d-af71-1b1f7e8d001e,mindrock-capital,Mindrock Capital,organization,"family_investment_office,venture_capital",,https://mindrock.vc
edcfb779-b413-e4e0-98e2-386cfc9dd305,qd-ventures,QD Ventures,organization,venture_capital,,http://www.qdventures.com/
cb34ae5d-fe57-463f-85b5-a6fee52f32dd,veligera-capital,Veligera Capital,organization,venture_capital,,https://veligera.com/
6c3fdb81-9b38-726d-1ed5-f46c563aa5f4,allianz,Allianz,organization,,,https://www.allianz.com/
5b3e7112-5476-9095-df35-119306cf5aa7,ebrands-vc,eBrands,organization,venture_capital,,https://www.eBrands.co
3c62db15-4db8-016a-145e-dd1a06d168e2,google-ventures,Google Ventures,organization,"corporate_venture_capital,venture_capital",,http://www.gv.com
ff4dac03-cf4e-80bb-508b-b2e17f8099c0,inventure-partners,Inventure Partners,organization,venture_capital,,https://inventurepartners.com
2d71a8b5-8028-4905-be3e-866b72a3e5e4,digital-horizon,Launchbay Capital,organization,venture_capital,,https://launchbaycapital.com
8522a0e8-ae31-22f7-bc76-42d0d76eecfe,ourcrowd,OurCrowd,organization,venture_capital,,http://www.ourcrowd.com
b0b55a49-fc2d-453f-ad53-1de621f4cb6a,silverbacks-holdings,Silverbacks Holdings,organization,venture_capital,,https://silverbacks.holdings
1a410398-3a72-5882-99b8-6318cf594850,softbank,SoftBank,organization,investment_bank,,https://group.softbank
