ipo_uuid,company_uuid,went_public_on,stock_exchange,money_raised_usd
b6d6f18e-41e9-4597-9d78-49e9142c8c9c,1ebaa59b-7035-75d2-316d-e7b35b8a82ed,2021-01-15,fra,
f3bb2ead-50cf-471e-8ccf-de8f40b0682a,1ebaa59b-7035-75d2-316d-e7b35b8a82ed,2020-07-02,nyse,
48d4a200-c048-4f51-8c9b-4d3e737aa0a2,096694c6-bcd2-a975-b95c-fab77c81d915,2004-08-19,nasdaq,
bac53d88-f55b-43c5-873a-9f45926fa6d5,47bae1fb-0bd7-4eca-22fa-c542c576187f,2021-03-15,nasdaq,
136357d2-164c-48f0-b16c-f42525b6d07d,7ccd15e2-d6f3-0c36-7561-8d597786701f,2024-10-16,nasdaq,
842e41c9-df45-4444-ac9d-737dc38053a2,9bc0983e-dcd6-38a0-d70f-7d16134280b0,2022-06-23,nasdaq,
4ce27bc5-0563-4f26-b319-9f6c564b29f2,c69eaf90-387c-f248-cfa8-cae35ab6adad,2024-06-14,nasdaq,
6c665754-254c-4e29-9b7a-a6149d8a0db7,540b8cb3-1ad9-5be0-8d29-ab736c10e5eb,2023-09-20,nasdaq,
f00b42d9-c9bc-4e06-9900-d36398f90070,9d9237d3-8303-9a42-1fd0-6648105c026e,2021-04-15,nasdaq,
c3d562c6-65ea-421b-b12a-f8818927ac72,6c70d9f3-d9bf-2ed5-4fa5-bf85854aa670,2022-04-09,nasdaq,
4d3c9516-8380-437d-9cc9-6d9b4ef0f199,1878adbc-0f1d-a795-228b-a436b56d0a35,2021-07-29,nyse,
3bf2dc4c-e849-055d-03e5-aa572a6063e0,762e2ecf-2863-643a-fe8e-defe58ed8b44,2015-06-25,nasdaq,
0e153606-670f-43d2-af33-b366ca722ac6,f844883a-b32b-43dd-c0b9-6cd2dce55026,2020-08-12,nasdaq,
6ab05b97-91f3-4e38-9e79-d361dcd256b2,e00c8d75-3190-472f-9e17-69561ea7ac91,2021-03-18,nasdaq,
055b2d57-bc09-462d-8a1e-d2fdc5e98e31,6e5e3614-1200-4a2b-86c5-bee7421abc12,2025-11-06,hkg,
