company_uuid,edu_data_available,founder_top_univ_count,founder_univ_degree_avg,founder_univ_pagerank_max,co_alumni_investor_overlap,founder_alumni_network_size,founder_ex_faang_count,founder_ex_startup_count,founder_prior_org_pagerank_max,coworker_investor_overlap,founder_coworker_network_size,founder_industry_diversity,founder_investor_social_proximity,team_network_reach
93b0188a-2b26-43b4-7992-fb39d0a591f0,1,1,1324.0,0.008007899771998483,3.0,1323.0,0,0,9.882633492442153e-06,1.0,10.0,5,2.0,1331.0
16837952-3a2b-4453-bb96-6019b6290180,0,0,,,0.0,,0,0,,0.0,,0,0.0,
6bff5c5f-2b9d-47e6-9f0f-1104f9ac8fde,1,1,1324.0,0.008007899771998483,7.0,1323.0,0,0,,0.0,,0,1.0,1323.0
e724de98-f9d8-420f-83db-00bdeb22cb1f,0,0,,,,,0,0,,,,0,,
470cabb6-1bfb-4312-8e69-7576c16ca980,1,0,115.5,0.001422491972188356,0.0,229.0,0,0,4.6934049232070614e-06,0.0,0.0,2,1.0,229.0
0f812e67-8efb-45df-bbb1-fe8003b67c4e,1,1,619.0,0.014637025750933357,2.0,2471.0,0,0,0.0008344591092858757,1.0,412.0,5,1.0,2769.0
c9dab1f7-d138-43c5-8bb4-e3d3c5a07abd,1,0,91.0,0.0015277410424408594,0.0,540.0,0,0,3.452471247099628e-05,0.0,39.0,8,0.0,579.0
f98a0970-9857-f98f-7b90-199a9eb95983,1,0,4.0,2.9106954635762837e-05,0.0,3.0,0,0,2.5705076232341222e-05,1.0,8.0,3,1.0,11.0
eb5a3c41-cd24-4bab-943e-6959c2528d91,0,0,,,,,0,0,,,,0,,
d95178b5-67ac-2dbf-19a3-4c7d6157c112,1,0,2.0,1.862208098813471e-05,0.0,1.0,0,0,6.752421985471254e-06,0.0,2.0,9,0.0,3.0
e896ac66-ef1d-4cbd-880a-a1f27dc38d12,0,0,,,,,0,0,,,,0,,
